Country,selected_Mean_total_billions,selected_SD_total_billions,selected_Mean_perio_billions,selected_SD_perio_billions,selected_Mean_replace_billions,selected_SD_replace_billions,selected_model,Dent_exp_usd,Dent_exppc_usd,GDP_per_capita_PPP_2021
Rwanda,7.9085575636822e-4,0.00195565300995724,6.902616189504124e-5,2.5826848324045023e-4,4.484041599530821e-5,1.7125976642519262e-4,low,0.0035,0.28,2733.435668
Saint Kitts and Nevis,0.00231406023586475,8.375380302761933e-4,3.098327685348891e-4,1.749456624969299e-4,1.7409283590137848e-4,1.3197453565996214e-4,high,0.003,56.98,26896.61771
Saint Lucia,0.00135394669528412,9.275069754109788e-4,1.261446563188059e-4,1.4561951607215603e-4,1.6766342322680475e-4,2.190198767812345e-4,mid,0.0054,29.98,19101.1653
Saint Vincent and the Grenadines,0.00122834361623245,8.580406905368957e-4,2.551463525491176e-4,3.0668917091831565e-4,3.3524980025011935e-4,4.552361930732163e-4,mid,0.0026,23.29,16200.89946
Samoa,6.732506765629557e-5,2.3626653260228392e-4,1.8730647296720576e-5,1.038204143968972e-4,6.2816709294242545e-6,3.768568098755416e-5,low,0.001,5.16,6214.016928
San Marino,0.00370936614496532,9.771917873801605e-4,0.00111413082782637,4.447387551271331e-4,6.19663516832831e-4,3.8994008094947685e-4,high,0.0075,222.24,64745.13168
Sao Tome and Principe,4.052319747877985e-5,1.7157888934794083e-4,2.290982090970721e-6,1.236475701504879e-5,7.602634152459558e-7,7.24562108436162e-6,low,1e-4,0.61,5732.694561
Saudi Arabia,0.06864370482007341,0.12858281424213497,0.01708382103791699,0.05388994163211452,0.00530782695904065,0.02183160635979488,low,1.2518,36.73,62690.49666
Senegal,0.00468671993899675,0.01813379749673545,0.00168906301732768,0.00966838092518232,5.075539971954553e-4,0.00385904191234827,low,0.0044,0.27,4173.677414
Serbia,0.07803481930388034,0.05011402286886274,0.00835237447509079,0.00935092236216748,0.01051415400764903,0.012974049266143,mid,0.11,15.79,23404.99711
Seychelles,1.0276993001072212e-4,1.998507939033496e-4,2.2620201434730265e-5,7.834675856954141e-5,7.913820486338424e-6,4.5152801173445665e-5,low,0.0013,13.61,29979.82727
